video_id,number_of_frames,total_distance,activity_ratio,processing_status
Subj_101_part_90,119,113.51967624258403,0.0,ok
Subj_101_part_91,132,115.05029666805532,0.04580152671755725,ok
Subj_101_part_92,120,256.6914075882495,0.05042016806722689,ok
Subj_101_part_93,120,73.27639551139873,0.0,ok
Subj_101_part_94,132,59.31235002300697,0.0,ok
Subj_101_part_95,112,71.9411200583022,0.0,ok
Subj_101_part_96,132,88.74362370704162,0.030534351145038167,ok
Subj_101_part_97,120,59.97039934723073,0.0,ok
Subj_101_part_98,130,189.7140660045175,0.031007751937984496,ok
Subj_101_part_99,120,240.2272417035713,0.07563025210084033,ok
Subj_102_part_1,121,799.2496188515836,0.3333333333333333,ok
Subj_102_part_10,85,591.1856885351172,0.2619047619047619,ok
Subj_102_part_100,120,940.2804523923849,0.3277310924369748,ok
Subj_102_part_101,132,506.86849341872795,0.13740458015267176,ok
Subj_102_part_102,112,627.3726296514632,0.25225225225225223,ok
Subj_102_part_103,130,724.1918567803513,0.17829457364341086,ok
Subj_102_part_104,120,425.90250046349416,0.20168067226890757,ok
Subj_102_part_105,81,187.69646816806227,0.0375,ok
Subj_102_part_106,132,404.65162985423154,0.09923664122137404,ok
Subj_102_part_107,63,312.6324891770329,0.1935483870967742,ok
Subj_102_part_108,81,384.19502963488753,0.3125,ok
Subj_102_part_109,120,469.3235472407441,0.18487394957983194,ok
Subj_102_part_11,90,381.7042987111246,0.34831460674157305,ok
Subj_102_part_110,101,782.1422180322328,0.35,ok
Subj_102_part_111,120,352.7511730950242,0.14285714285714285,ok
Subj_102_part_112,120,743.995364362555,0.23529411764705882,ok
Subj_102_part_113,123,270.3596693101138,0.040983606557377046,ok
Subj_102_part_114,116,464.54441351730105,0.21739130434782608,ok
Subj_102_part_115,126,498.76299935274244,0.216,ok
Subj_102_part_116,110,786.6990444406922,0.43119266055045874,ok
Subj_102_part_117,120,782.0648494230725,0.31932773109243695,ok
Subj_102_part_118,132,470.92912882084715,0.13740458015267176,ok
Subj_102_part_119,120,714.3832388842078,0.2689075630252101,ok
Subj_102_part_12,120,347.8294244136539,0.12605042016806722,ok
Subj_102_part_120,132,463.3985274589254,0.15267175572519084,ok
Subj_102_part_121,95,759.943087522713,0.3617021276595745,ok
Subj_102_part_13,124,959.6775306075864,0.37398373983739835,ok
Subj_102_part_14,102,1059.6646553523003,0.6039603960396039,ok
Subj_102_part_15,113,756.3302424780029,0.38392857142857145,ok
Subj_102_part_16,132,544.3908914895096,0.2748091603053435,ok
Subj_102_part_17,120,417.7435567691299,0.19327731092436976,ok
Subj_102_part_18,132,834.3008471190346,0.31297709923664124,ok
Subj_102_part_19,120,506.6055310799825,0.31932773109243695,ok
Subj_102_part_2,119,538.7077907120334,0.3050847457627119,ok
Subj_102_part_20,119,609.4556520043544,0.3135593220338983,ok
Subj_102_part_21,132,484.8693562750304,0.17557251908396945,ok
Subj_102_part_22,120,410.4559285720691,0.15966386554621848,ok
Subj_102_part_23,132,792.3527047855782,0.32061068702290074,ok
Subj_102_part_24,120,688.5775360410557,0.2857142857142857,ok
Subj_102_part_25,132,459.95605465906414,0.1984732824427481,ok
Subj_102_part_26,110,416.69708234373496,0.14678899082568808,ok
Subj_102_part_27,113,303.1503712330141,0.10714285714285714,ok
Subj_102_part_28,95,855.2944601369437,0.5,ok
